japanese_display_name,video_url,japanese_names,english_names
Waki Gatame,https://www.youtube.com/watch?v=AlBci1qhYsc,Waki Gatame,"Armpit Armbar,Armpit Lock"
Yama Arashi,https://www.youtube.com/watch?v=PUCN_gTYhfY,Yama Arashi,Mountain Storm
Yoko Gake,https://www.youtube.com/watch?v=YntUIakl428,Yoko Gake,Side Hook
Yoko Guruma,https://www.youtube.com/watch?v=BYD0IRZPlxI,Yoko Guruma,Side Wheel
Yoko Otoshi,https://www.youtube.com/watch?v=Uu9XXHHYMRo,Yoko Otoshi,"Lateral Drop,Side Drop"
Yoko Shiho Gatame,https://youtu.be/1GJn6OEyuO4,Yoko Shiho Gatame,"Side Control,Side four-corner hold"
Yoko Sutemi Waza,https://youtu.be/ml_eSxz8OMo,Yoko Sutemi Waza,Side Sacrifice Techniques
Yoko Tomoe Nage,https://www.youtube.com/watch?v=9-byceOifXo,Yoko Tomoe Nage,Side Circle Throw
Yoko Wakare,https://www.youtube.com/watch?v=fWlPaLwvBV8,Yoko Wakare,Side Separation
Kenka Yotsu,https://youtu.be/JBSsWN8E2qs,Kenka Yotsu,"Asymmetric Grips,Right vs Left Grips,Left vs Right Grips"
Ai Yotsu,https://youtu.be/xYQDQXLzKHc,Ai Yotsu,"Symmetric Grips,Right vs Right Grips,Left vs Left Grips"
